dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,transaction_type,payment_instrument_type,transaction_count,transaction_amount
aggregated,insurance,,india,state,assam,2021,3,1625077800000,1632767400000,True,SUCCESS,1692611076514,data\aggregated\insurance\country\india\state\assam\2021\3.json,Insurance,TOTAL,4495,6010865.0
aggregated,insurance,,india,state,assam,2021,4,1633026600000,1640629800000,True,SUCCESS,1692611127913,data\aggregated\insurance\country\india\state\assam\2021\4.json,Insurance,TOTAL,8622,13962068.0
aggregated,insurance,,india,state,assam,2022,1,1640975400000,1648405800000,True,SUCCESS,1692611179506,data\aggregated\insurance\country\india\state\assam\2022\1.json,Insurance,TOTAL,16230,27447766.0
aggregated,insurance,,india,state,assam,2022,2,1648751400000,1656354600000,True,SUCCESS,1692611230665,data\aggregated\insurance\country\india\state\assam\2022\2.json,Insurance,TOTAL,9228,15357811.0
aggregated,insurance,,india,state,assam,2022,3,1656613800000,1664303400000,True,SUCCESS,1692611282354,data\aggregated\insurance\country\india\state\assam\2022\3.json,Insurance,TOTAL,14149,22543564.0
aggregated,insurance,,india,state,assam,2022,4,1664562600000,1672165800000,True,SUCCESS,1692611334250,data\aggregated\insurance\country\india\state\assam\2022\4.json,Insurance,TOTAL,18826,29239168.0
aggregated,insurance,,india,state,assam,2023,1,1672511400000,1679941800000,True,SUCCESS,1692619179313,data\aggregated\insurance\country\india\state\assam\2023\1.json,Insurance,TOTAL,22100,36963888.0
aggregated,insurance,,india,state,assam,2023,2,1680287400000,1687890600000,True,SUCCESS,1692619360903,data\aggregated\insurance\country\india\state\assam\2023\2.json,Insurance,TOTAL,16475,28368139.0
aggregated,insurance,,india,state,assam,2023,3,1688149800000,1695839400000,True,SUCCESS,1697612201703,data\aggregated\insurance\country\india\state\assam\2023\3.json,Insurance,TOTAL,22593,35618158.0
aggregated,insurance,,india,state,assam,2023,4,1696098600000,1703701800000,True,SUCCESS,1706092856680,data\aggregated\insurance\country\india\state\assam\2023\4.json,Insurance,TOTAL,23168,38731734.0
aggregated,insurance,,india,state,assam,2024,1,1704047400000,1711564200000,True,SUCCESS,1714727741291,data\aggregated\insurance\country\india\state\assam\2024\1.json,Insurance,TOTAL,33097,48107248.0
aggregated,insurance,,india,state,assam,2024,2,1711909800000,1719513000000,True,SUCCESS,1722517869074,data\aggregated\insurance\country\india\state\assam\2024\2.json,Insurance,TOTAL,22368,34796603.0
aggregated,insurance,,india,state,assam,2024,3,1719792000000,1727481600000,True,SUCCESS,1739974395417,data\aggregated\insurance\country\india\state\assam\2024\3.json,Insurance,TOTAL,17633,31388971.0
aggregated,insurance,,india,state,assam,2024,4,1727740800000,1735344000000,True,SUCCESS,1739974617466,data\aggregated\insurance\country\india\state\assam\2024\4.json,Insurance,TOTAL,21805,35336229.0
aggregated,insurance,,india,state,bihar,2020,2,1585679400000,1593282600000,True,SUCCESS,1692610822017,data\aggregated\insurance\country\india\state\bihar\2020\2.json,Insurance,TOTAL,2816,595621.0
aggregated,insurance,,india,state,bihar,2020,3,1593541800000,1601231400000,True,SUCCESS,1692610873560,data\aggregated\insurance\country\india\state\bihar\2020\3.json,Insurance,TOTAL,9733,2161102.0
aggregated,insurance,,india,state,bihar,2020,4,1601490600000,1609093800000,True,SUCCESS,1692610926339,data\aggregated\insurance\country\india\state\bihar\2020\4.json,Insurance,TOTAL,9913,7860932.0
aggregated,insurance,,india,state,bihar,2021,1,1609439400000,1616869800000,True,SUCCESS,1692610978796,data\aggregated\insurance\country\india\state\bihar\2021\1.json,Insurance,TOTAL,12554,8796619.0
aggregated,insurance,,india,state,bihar,2021,2,1617215400000,1624818600000,True,SUCCESS,1692611030927,data\aggregated\insurance\country\india\state\bihar\2021\2.json,Insurance,TOTAL,14301,13301581.0
aggregated,insurance,,india,state,bihar,2021,3,1625077800000,1632767400000,True,SUCCESS,1692611082765,data\aggregated\insurance\country\india\state\bihar\2021\3.json,Insurance,TOTAL,18030,18234941.0
aggregated,insurance,,india,state,bihar,2021,4,1633026600000,1640629800000,True,SUCCESS,1692611134141,data\aggregated\insurance\country\india\state\bihar\2021\4.json,Insurance,TOTAL,22456,27313813.0
aggregated,insurance,,india,state,bihar,2022,1,1640975400000,1648405800000,True,SUCCESS,1692611185804,data\aggregated\insurance\country\india\state\bihar\2022\1.json,Insurance,TOTAL,20253,27755736.0
aggregated,insurance,,india,state,bihar,2022,2,1648751400000,1656354600000,True,SUCCESS,1692611237054,data\aggregated\insurance\country\india\state\bihar\2022\2.json,Insurance,TOTAL,21892,28212833.0
aggregated,insurance,,india,state,bihar,2022,3,1656613800000,1664303400000,True,SUCCESS,1692611288743,data\aggregated\insurance\country\india\state\bihar\2022\3.json,Insurance,TOTAL,28511,34704251.0
